ID,OrdID,OrdDate,ShipDate,ShipMode,CustID,CustName,Seg,Country,City,State,Region,ProdID,Cat,SubCat,ProdName,Sales,Qty,Profit,Ret,Pay,Ind1,Ind2
11,d75bfe1a-6f31-40d2-9df2-30b381bb4a97,2021-05-16,2021-11-23,Exp,55681fed-621d-4093-832e-dccaa94085b4,Sheila Mccarthy,HO,US,Stoneview,Washington,South,1e1a1b7c-32ac-48c9-b29c-8830519d9c36,Tech,Fstnrs,Subject weight give ahead new.,4572.52,1,-65.79,1.0,CC,,
12,9acc44c4-3fd3-4dd3-9672-9c25224abce2,2023-06-01,2023-06-08,Std,a6182215-3f3e-48d2-9ea2-a623ab681ce2,Melissa Lewis,Cons,US,Derrickmouth,Arizona,East,5600a4be-5110-4cf5-b70e-37f8c05894d8,OffSup,Acc,Challenge quickly down impact.,3915.94,5,68.2,,PP,,
13,a32351a4-2f3d-471e-9626-6c4585043c46,2021-07-06,2022-02-25,Eco,8f5cd813-29b4-4119-894b-657c92e8bd25,David Fox,Corp,US,Lake Jon,Utah,West,62d1851a-8cb3-4a88-8cf9-8962ab0e99a4,Furn,Bndrs,Focus machine author play film idea worry.,1667.8,5,84.98,,CC,,
14,3bed9c80-92c9-45d4-baa4-fe423f25b577,2022-07-08,2023-02-06,Exp,18d36733-a438-4646-a8a2-f0f5150b8f45,Phyllis Alvarado,Cons,US,West Annette,Hawaii,South,bec96cd3-c1d9-440b-bc07-f33c88fdd333,OffSup,Bndrs,Effort treat even above away mind.,3890.04,10,82.36,1.0,PP,,
15,fc8cac3b-442f-4e47-af90-f7db4149780f,2021-09-15,2022-04-18,Std,498ee8e6-bbee-43af-be53-70851cf24f2a,Paula Wilson,Corp,US,Lunaland,Colorado,West,e11dfbb8-98d8-481f-a940-1415ab166d75,Furn,Bndrs,Half plan dark foreign since drive job.,4333.23,6,46.14,1.0,COD,,
16,0c37c260-8d83-4df3-b444-5dc5c882fe7f,2022-10-27,2023-01-01,Std,48037775-8a63-403a-820e-434b6e224d7b,Jeremy Dyer,Corp,US,Rogerstown,Maine,East,c1fac2bb-7307-4164-a018-813fdda31473,Tech,Phns,Factor ok whose tonight cup story.,3999.15,6,-91.46,1.0,COD,,
17,5963da87-dedc-48c5-ad37-fd4542b8b99e,2022-12-17,2023-06-24,Exp,9c67d48c-cdd4-4e15-885b-4789174abd18,Benjamin Campbell,Corp,US,Shawnshire,Idaho,South,1d19ebb4-7dc7-4fd4-b04a-6479db3af914,Furn,Bkcs,Space way fight capital tax man cell agent.,859.76,7,-40.53,1.0,PP,,
18,d3424916-7306-45bb-b5cc-1203eef04048,2022-07-21,2022-09-05,Std,c69f3bcb-298c-4732-96c0-e3d53c4e95f8,Tina Mcclure,HO,US,Katieside,Connecticut,South,4288e9c8-d2ca-4556-b77b-f92dadbb7a93,Furn,Bndrs,Party operation know hand school in.,2085.39,6,19.14,1.0,CC,,
19,8ee79cd7-b129-4f7d-b173-940bc09add69,2019-07-23,2019-11-23,Std,fff96c4d-bf7e-46b5-b3dc-830e4c0bbcc6,Kirk Lopez,Cons,US,South Annafurt,Alaska,North,9528b80e-5b8d-479b-960c-f7f2873c4305,Furn,Bndrs,Day maybe respond space television star through.,3701.14,1,-91.24,,CC,,
20,f94e8088-e925-4f8b-911d-d8d998d4ce79,2022-07-17,2022-09-24,Exp,c004e403-daec-4290-9ad2-96f92dc65c88,Tyler Mcmahon,HO,US,South Thomas,Tennessee,South,3e932e6a-de8d-41fb-8423-c93c7f8c1f53,OffSup,Bkcs,Sort cost pass data.,4120.08,1,-6.77,,PP,,
21,d8a4b179-771d-475c-ae07-8a7a9431a16f,2023-02-21,2023-03-10,Eco,34eafceb-bd9b-4148-be4f-ca187f5aca26,Timothy Callahan,Corp,US,Armstronghaven,Alabama,East,a6ba8688-7b17-4ea0-9318-134a8554ca66,Tech,Bkcs,Support might still traditional light movie.,3992.09,8,30.16,,CC,,
22,8f324a39-c44c-4d17-9113-3ab9380eaf59,2022-03-10,2022-08-01,Std,8386f245-2af4-4c31-970e-45ad824a2e2a,Erica Perez,Corp,US,Sheaport,West Virginia,East,4ed8bfa6-605c-485c-9ae0-2ca34f5d7728,Tech,Bndrs,Collection pull design early. Anyone such just.,3398.78,8,56.92,1.0,COD,,
23,ced58d33-ca8a-48d3-be10-11e22f22b242,2022-07-10,2023-02-25,Std,b9b4e7b0-698a-48e7-9d27-1099c23c75b2,Kimberly Brown,Cons,US,Thomasfort,Idaho,West,42fac157-01f1-4719-97de-b44128c9669d,Tech,Bndrs,Enjoy on finally gun. Laugh beat avoid page put.,4705.43,3,-64.57,,CC,,
24,128e3b28-0f61-4fe7-b1da-bb8aa679445b,2020-11-24,2021-03-18,Exp,fff0508b-e36d-430b-9b45-0c15f4afaf72,Robin Maynard,HO,US,East Tina,Montana,West,10632258-9f4b-4dd6-9d0b-61ed1e3732fd,Furn,Bndrs,Represent type reduce student key.,919.54,8,55.87,1.0,CC,,
25,991e2fd5-9552-4bdd-8e84-d556b99d8c0e,2021-06-10,2021-06-14,Exp,d141c14b-8d2f-47de-87b0-85c277ad9da2,David Holt,HO,US,Reyesberg,Oklahoma,East,853a2127-dfb0-4720-a40e-cb539ae3b2fd,OffSup,Phns,Theory bill style personal.,437.44,2,-28.71,,CC,,
26,4de11f48-d131-49e8-959c-8f79f09ea4ea,2020-07-29,2021-05-15,Eco,9dabfdaf-4165-4ed4-ad2e-d928914ccf1c,Haley Donaldson,Corp,US,West Mark,New Hampshire,East,08d8f239-d569-4c04-b8fa-961d887c7c67,OffSup,Acc,Cover grow sit gas laugh assume a mother.,275.1,1,76.87,,CC,,
27,6091cb46-6ef1-4888-af3d-29bbe23a6bc8,2024-02-28,2025-01-26,Std,7bfbc419-2bf4-46cc-8251-19ddcc6fccbd,Danny Long,Cons,US,Port Heather,Delaware,North,823a335b-b49f-4a64-a379-63ce8ff946e7,Furn,Acc,Friend must different go cut.,4216.7,3,22.83,,COD,,
28,0aa07dd9-dd83-4610-b89d-ff81d7d636b8,2021-05-02,2021-05-06,Eco,be493008-2ee9-4d3f-9bb7-a289a02c206c,Jamie Suarez,HO,US,Russellmouth,Pennsylvania,East,b2eab7c2-d8ff-4962-8dc1-1df053ff5805,OffSup,Acc,Role teacher pull other plant.,4142.84,8,-46.85,1.0,PP,,
29,4bf420d0-5927-434b-b940-7a044857b662,2022-05-23,2022-09-22,Eco,9ec44a9f-f14e-45fb-9a02-f27e77f8b665,Amy Smith,HO,US,Lewisside,Wisconsin,North,cbcba6d7-918c-4b0c-a1e0-6841b3d23721,OffSup,Phns,Marriage land again.,2455.04,1,35.59,,CC,,
30,16edec4b-82e4-48cc-ab82-c894623f5778,2023-06-26,2024-04-04,Exp,02c8b4b5-40ab-49bf-8246-2563eeb548c5,Mark Luna,Cons,US,Fergusonberg,Massachusetts,South,bc8d034d-0c2e-4515-bb07-ba3ec181a549,Furn,Bndrs,Right draw look leader soon.,444.09,4,-2.87,,COD,,
31,d9d793fb-02f1-4e9a-9ccf-ee630ddab427,2020-06-18,2021-02-17,Eco,9da1a126-ee7c-43bb-96fc-cb5d7da81190,Robert Herring,Corp,US,Daisystad,Hawaii,East,dd8e53cb-1e6f-4674-a421-fffe42d3f75d,Furn,Acc,Network learn discussion high field again.,4821.67,10,-62.96,,CC,,
32,7e870fc7-842f-4f21-ac96-2a8424a7c47e,2022-04-22,2022-10-15,Exp,213368ef-554d-429a-903f-2f8fd4a08c5e,John Burgess,Corp,US,Robertview,Kansas,West,e71024df-8d59-4279-9ad3-7a14f2b70e20,OffSup,Fstnrs,Protect movement budget Congress commercial why.,3689.65,8,57.42,,CC,,
33,4e30f391-1aed-4c24-8499-9ec9e1e0b6f0,2023-08-05,2023-08-18,Eco,50902ea6-16ad-427f-808e-a4286b0079c9,Shawn Smith,HO,US,South Stevenshire,Maryland,East,aee30c2d-d8ed-4faa-99d4-911278a38fa3,Furn,Bndrs,Table weight smile safe plant federal represent.,2662.67,3,29.56,1.0,PP,,
34,84efd112-6a9e-4a66-b551-5ba0a000ccef,2019-07-31,2019-12-23,Std,1d4b14f6-278c-4a20-b2c3-1aea5740d969,Jordan Bond,HO,US,New Kristin,Rhode Island,South,ceaaed3b-d56d-42af-b379-a8727fd086ac,Furn,Fstnrs,Line decision age occur quickly policy.,4204.78,5,1.29,,PP,,
35,88d01a30-016e-44a3-90b0-b8948bc88e48,2021-06-22,2021-11-25,Exp,135a1da6-f0b6-4d77-bced-2c2044fb9264,Ronald Mosley,HO,US,Bennettstad,Michigan,North,9712c255-1f82-478e-98d1-18b0600ee2b5,OffSup,Fstnrs,Area then or know serve increase possible.,2615.27,4,-7.12,,PP,,
36,7ebe55b5-e124-40c7-b7e1-e295dcb7455d,2020-11-25,2021-03-26,Exp,b257cb69-a467-4980-9534-fbe5d8356406,Mary Walters,Corp,US,East Christy,Rhode Island,West,75f2c17d-54da-414c-9445-425e56d20359,Furn,Phns,Audience husband visit her at.,644.41,5,57.74,,COD,,
37,6cc3386a-88ee-4964-bcb9-e550cdaeb6bc,2020-11-23,2020-12-04,Eco,4cf00039-9c74-482c-8f1d-05ce3a20da31,Daniel Gallagher,HO,US,Wardville,New York,North,5f21c14f-d4bb-4b39-8261-fce1f5af644f,Tech,Acc,True face wrong hit difficult. Miss star all.,2209.23,5,-92.89,1.0,CC,,
38,5255fbdf-f051-4336-9f3c-fc943a214736,2022-04-01,2022-05-15,Eco,dc949782-1d9b-424a-951a-d246952ac041,Louis Harper,Corp,US,Port Andrew,Utah,West,7fbe528b-6464-46e9-ab3a-504c4bc1c562,Tech,Acc,Trial second power information cause painting.,4481.64,10,14.97,,COD,,
39,c66cbf9e-1fbb-4eec-959d-547f615121fe,2019-11-01,2020-09-09,Exp,09cba8df-09c9-48eb-8451-12f29451cb79,Stephanie Marshall,Cons,US,Port Emilytown,Mississippi,East,35bb25b1-5296-4e64-ae7a-e1f207ab16b4,Furn,Bkcs,Alone true specific pick as determine in serious.,607.86,9,-11.72,,PP,,
40,319a47ca-986b-4e3c-a8ff-308232322825,2022-10-27,2023-07-13,Exp,46725b9d-e353-4ccf-b69b-047e493c7191,David Wade,Corp,US,North Troy,Alabama,West,3d2ebd72-375d-4a25-9e5b-497609960a85,OffSup,Fstnrs,Because week management north behind.,2529.0,8,-71.88,1.0,COD,,
41,f630ce1d-2e19-4f7b-99e0-defbb94ba903,2022-04-10,2022-12-04,Std,ea9ffeb2-b037-469b-856b-7033c551cdfe,Barbara Romero,Cons,US,South Brian,Nevada,West,a6b447a0-f6c4-4e0b-a521-fe1f33c0aa2d,Furn,Phns,Own notice garden current society bar.,2649.87,2,-55.23,,PP,,
42,13173918-cc28-4c46-aa31-78f824847b7e,2023-01-11,2023-06-13,Eco,9302facf-bd1c-4a22-a849-772586e80e43,Bryce Marks,Cons,US,Leahport,Michigan,South,f323bdbb-2ad4-4cee-b61c-09d7e745a65b,OffSup,Phns,Short test recently.,1669.44,4,40.38,1.0,COD,,
43,1d9d8f00-d5c8-422a-b93e-89bf6cbf4e91,2023-12-06,2024-06-11,Exp,3a683411-9a31-4306-a58f-296c89f4b00e,Patricia Mccullough,Cons,US,Donaldsonshire,Wyoming,North,921fbb23-4a02-475d-a56c-9fed22f4e034,Furn,Acc,Walk each nearly mouth drive fall anyone.,1261.34,9,-77.99,,COD,,
44,6f21f78b-c8d6-4445-bb82-99467abc586f,2023-01-27,2024-01-17,Std,a577760d-46d5-4b6c-94e4-fcf64ce6f188,Tiffany Caldwell,HO,US,Justinside,Michigan,West,1afce158-f14a-4952-a638-8bb9febbac17,Furn,Acc,Never attorney term long strong trip Mr.,1066.05,4,76.02,,COD,,
45,b9604ecb-ea13-45fb-8ca5-3240134fa5bd,2021-01-03,2021-07-15,Exp,62a20d00-e097-48d3-98d0-ad1d03cd96f5,Robert Jones,Corp,US,East Christinemouth,Massachusetts,North,4ce10a3f-9a8a-435b-9759-697d042af17b,OffSup,Bkcs,Chair available worker herself.,3126.25,3,-23.89,1.0,COD,,
46,78fa9e97-d500-42ad-b77b-2d9dbeee47c4,2023-10-20,2024-08-22,Exp,1ab96057-9f84-4517-ae7c-789ef3945c45,Heather Johnson,Cons,US,Amyhaven,Tennessee,West,75307770-cd8e-4e7c-8b21-fad2a3754f4e,OffSup,Acc,Take fear meeting hope low.,1597.22,6,74.59,,CC,,
47,fdbbce51-080a-42eb-9e6b-aa85b9cf0654,2023-03-12,2023-10-20,Eco,97f07f77-a665-4270-a3e7-a4d95e859e4e,Karen Hill,Cons,US,Maxwellland,Pennsylvania,South,7b528cfe-992d-4f3a-8051-efa839ec890c,Furn,Bkcs,Bed a company firm at raise who free.,3020.91,4,56.11,,COD,,
48,a093e94c-1178-4e69-9fa4-5f81127efbf4,2022-03-22,2023-01-28,Eco,44eca73a-d7bd-4d38-a01e-9d9c9b1f45cc,Brenda Merritt,HO,US,New Royshire,Connecticut,East,b971efb7-95e9-4bc9-ab63-ae03b5d366d0,OffSup,Acc,Three once think boy table suggest form behind.,91.47,7,46.02,,PP,,
49,1def41f3-e25f-48a2-9cb7-e4d70f63db7f,2022-01-02,2022-02-04,Eco,0418f691-62a7-4c4a-80b6-1596520e115e,Mark Howell,Cons,US,Grimesside,Massachusetts,East,46af3071-90ce-4102-8cfb-263a2b134565,OffSup,Fstnrs,Blood national home deep tree.,1483.31,6,-93.93,1.0,CC,,
50,98d6e15e-5bce-4002-b202-7fdd4fbb29f7,2023-12-29,2024-09-07,Eco,b69cee5c-ab0e-4307-9ce7-f14ca26fb193,Beverly Sanchez,Cons,US,Campbellstad,Ohio,East,b57a3cc6-d515-4097-9fe0-7de723a307d8,OffSup,Phns,Miss realize stuff yourself really car relate.,3418.06,6,-32.95,1.0,CC,,
51,d919b63d-d519-41a4-becb-ed9bba8158b7,2022-03-10,2022-12-02,Eco,e22abdf5-89a3-4ada-89c3-d842d41baa1e,Crystal Williams,Corp,US,Meadowsville,Illinois,East,c7d09b2a-9e83-4769-9941-d2890ada81f7,Tech,Phns,Officer decade law through city boy Congress.,4951.9,2,96.32,,PP,,
52,b9cd6f64-f1af-4e1b-b4df-9a9d21e11243,2022-07-28,2023-03-22,Eco,efa5431a-8fb4-45ff-afbc-0dd0dfb71633,Robert Ramirez,Cons,US,Bushtown,New York,East,f2a7a596-27c7-4ec3-9de4-df1f75eb0392,Furn,Bndrs,Something couple material item edge.,2728.34,6,-72.52,,COD,,
53,b4602e54-edd8-4815-af44-524e5ec60f55,2019-08-26,2019-12-20,Eco,c7c38fed-9f06-4e85-bfe2-a829be422c14,Jennifer Diaz DVM,Corp,US,South Markland,New Mexico,North,a012089d-0032-419a-b188-308ba650d397,OffSup,Fstnrs,Night sort determine body claim nor carry.,673.22,6,2.54,,PP,,
54,2fd7992c-180a-4658-9d38-277d0df2d551,2019-09-11,2019-10-26,Std,6608e89f-a92b-4321-b99b-a3f88158f51e,Maria West,Corp,US,East Diane,Rhode Island,West,74878987-6dd7-4d3a-9805-40c81117fceb,OffSup,Phns,Economic so whom change.,3070.55,4,73.42,,CC,,
55,6a7ef425-80a3-48eb-bf84-0d5a309296f2,2022-05-02,2022-07-23,Exp,d2f3e358-bf01-4f26-968b-4ac8530e302d,Jessica Strickland,HO,US,Rebeccahaven,Idaho,East,f4ec747c-79f0-4158-b4e2-55a349126579,Tech,Fstnrs,Force station top brother public base.,4374.41,7,-35.68,1.0,COD,,
56,eb93ee0c-105e-4662-b689-7414f54d74d1,2021-07-16,2022-06-15,Exp,66b2de8c-3b25-45a2-abb4-0b71fac7cc4a,Christina Roth,Cons,US,South Jamesside,Rhode Island,North,2fcfd363-f5fc-433d-bc4b-4178f5497eb8,OffSup,Bkcs,Population get first born unit want discover.,4671.25,10,-89.36,1.0,PP,,
57,6d614c3f-6712-4f5c-8d8b-f8e8a3776075,2020-05-29,2021-03-16,Eco,7415b2f0-9457-46e7-a933-5cccdba2a6b9,Jessica Ho,Cons,US,South Erin,Nebraska,South,995254d6-4513-4b4a-8c48-e29b8f4a44ee,OffSup,Acc,Culture house no station control board pull.,4284.62,3,74.33,,CC,,
58,a44ae044-2d1b-4d31-ab45-846ff33e787a,2022-03-04,2022-08-05,Eco,92f95aed-2374-4afe-a5e2-13b25d88b2e2,Shelby Barber,Corp,US,Port Karenland,Utah,South,213c9abd-18c1-49ee-89b3-c0ccb1e389d4,Furn,Bkcs,Music cup west choose development choose.,922.8,9,-69.02,1.0,PP,,
59,1c166e01-eab9-46e2-8ed1-364cff5d84a9,2021-10-30,2022-01-26,Eco,c90a1dfa-7405-41a8-ba83-f3ebe356db77,Cory Pierce,Corp,US,South Elizabeth,Missouri,South,7bdeb0d6-1cd5-4241-8660-deacd2ec1ced,Tech,Bndrs,Manage treat focus reach.,4275.51,3,15.67,1.0,COD,,
60,4cc675c8-e1a4-4526-a1fc-95becd3d3afa,2022-10-03,2023-09-01,Std,1f899de3-db49-423d-b34f-324a6c4d78c1,Jose Serrano,Corp,US,Katherineport,New York,South,0c402c36-7a4a-4b93-83ed-cf1e91f3dd48,OffSup,Bndrs,Pressure top total. American five and red school.,1585.97,6,30.52,1.0,PP,,
61,891e9f16-ea25-44c8-829c-3ab45143023d,2022-05-11,2022-05-23,Std,76215194-0400-4f53-9507-cc76a527dd79,Brittney Stone,HO,US,Leefurt,Illinois,East,6a659fc9-04b1-4e6d-a60f-a41faee49d5e,OffSup,Fstnrs,Medical even will small.,3546.2,9,82.41,1.0,PP,,
62,76ff0bbe-e2d1-4ab1-b127-897970cace7d,2023-05-05,2023-11-20,Std,ee0b393e-7a35-4bc5-b9f1-523c7913fb2c,Manuel Frye,Cons,US,Joshuamouth,Illinois,East,ad87dac8-c75e-45c4-8aa4-0250bde5aabc,OffSup,Bkcs,Admit once inside magazine program you.,608.68,5,-76.33,,COD,,
63,f9f45184-6168-46e3-a5e4-1e9352a90363,2021-10-24,2022-10-19,Std,30a09506-35d0-402f-8038-0c9649854015,Stacy Lutz,HO,US,Christinaport,Nebraska,North,b4ceb039-f810-41e2-946c-b7a7af03b161,OffSup,Fstnrs,Perform sit day stand alone sell way under.,4200.21,3,-86.01,1.0,COD,,
64,72b147e8-6238-4dc1-88cd-38c2fa3be705,2024-02-07,2024-10-13,Eco,e1834c07-92a8-4cd9-a3b2-ddb43df778e4,Rachel Stuart,Cons,US,New Julie,Wyoming,West,069ad11b-297e-4d0e-8bd9-2bb3ada5bdc0,OffSup,Bkcs,Letter politics place.,464.17,3,26.58,,CC,,
65,2729f95a-e769-4ce3-b592-b7d88b48111d,2020-08-27,2021-06-23,Eco,0921ada6-1ec2-4901-a9e8-62cfeb87ebfb,Kyle Buchanan,Cons,US,South Kelly,New Jersey,West,f65353dd-c66b-4e71-83d3-579596983390,Tech,Bndrs,Pretty half market continue.,4458.03,3,-42.68,,PP,,
66,c69ee308-a87f-4471-a7ec-8b574ab90363,2019-05-18,2020-02-19,Eco,697d71a3-aaaf-44b4-913d-57b8a4864a95,Carla Gardner,HO,US,South Lindsaychester,Oklahoma,East,e132d3f0-ad70-4775-93c7-5f83d824b781,Furn,Acc,Interview gun character window.,4259.28,2,55.69,,CC,,
67,2c7d7ece-a3b4-473f-a468-9226e3d41772,2023-10-18,2024-07-28,Eco,b8c0e9d9-4ef9-4fdd-ae26-2716d7b43fd6,Alexandra Martinez,Cons,US,East John,Maine,South,f2bc1f1d-53d5-4e1f-a45c-e2e0615b6eee,OffSup,Phns,Rate buy court part current party special.,272.95,2,3.6,,COD,,
68,7c1f743a-5034-4059-b54a-2a8d1ded8ff2,2021-02-22,2021-10-08,Eco,9beff0d6-08f2-4a76-97e2-9157c1d0f669,Kevin Dickerson,Cons,US,Deborahberg,Michigan,East,a326d4ec-5715-4292-94b0-45175d8c1aa3,Furn,Acc,Explain rather western dinner kitchen.,3394.81,4,52.26,1.0,PP,,
69,49ae7824-c3b7-4af2-b3a0-6d1442e62f0d,2020-04-05,2021-02-19,Exp,c346b9db-d9b1-4736-84fb-272506fef427,Richard Williams,HO,US,Erichaven,New Hampshire,North,5dd93b71-29e6-4625-92a0-ed8f17c2425f,OffSup,Bndrs,Choice single try certainly require.,2597.71,5,95.64,1.0,CC,,
70,2b5008d0-38cd-496e-a12b-d87db460636e,2020-04-07,2020-11-16,Std,2205db67-7659-429e-8042-85c48403bb09,Kerri Torres,Corp,US,New Jason,Michigan,West,0bc610cf-8d87-4d8e-974f-33db1d346515,OffSup,Acc,Arm sport too section ago week base.,628.99,9,-89.82,,PP,,
71,7b4c93c0-f98f-426a-b271-b262b31c67aa,2022-11-05,2023-10-21,Eco,d9ea111c-9bad-4a79-aa50-354852cca360,Donna Parsons DVM,Cons,US,South Thomasport,Idaho,North,e2cfbe3b-78db-4fc3-bbe8-b56f12e05887,OffSup,Fstnrs,Present film there section.,1457.13,1,-4.18,1.0,CC,,
72,934817db-cb0a-43b4-8ed1-381e4c0df31a,2022-06-07,2022-12-06,Std,64359650-1a0f-433f-bc03-163f96ac0f13,Justin Frederick,HO,US,South Zachary,Mississippi,East,06815c73-f001-4ae3-9370-2ed6eb2a126a,Furn,Phns,White plan fine seem believe plant local hard.,1847.11,6,69.62,1.0,CC,,
73,a47f96f9-7647-4335-ad6b-008e135248f0,2021-10-26,2022-03-07,Std,3f7ebd7d-a7c1-40ee-a8fa-c6b6b09aa1fb,Elizabeth Brewer,Corp,US,Julieland,South Dakota,West,90b637d6-af36-4e4a-be16-df9d9a316e11,Furn,Bkcs,Democrat during evening difference sort.,3793.88,2,-22.4,1.0,PP,,
74,277f137c-feeb-4f93-9442-2118bbf9112f,2021-01-05,2021-03-09,Std,37a29014-6651-45d1-b029-8dc7c2ca7775,David Welch MD,Corp,US,North David,Idaho,North,72839ad6-403a-449a-bd43-3746205ea52d,Furn,Bkcs,Moment into suggest entire.,3487.93,2,-43.65,1.0,CC,,
75,2a7f480e-d0f6-4f56-8057-c47f054d0e73,2021-09-06,2021-10-29,Exp,618a4369-565c-40cf-91d6-903fac057d86,Paula Day,Cons,US,Coopertown,Maine,South,34edc59d-11ab-4036-88f5-176dea345b03,Furn,Acc,Garden glass local.,4794.02,3,-63.77,,COD,,
76,e251acc5-da5f-42bf-a05b-c52d0740edbf,2020-10-22,2021-04-22,Eco,52cc4a03-8be0-4d47-98f8-50d94278dfae,Meredith Williams,HO,US,North Stephanie,Washington,East,f2a5d1b8-9d28-41e2-9ed1-2d0bc85c5764,Furn,Acc,Campaign environment although since car wind.,2758.35,8,59.68,,PP,,
77,0960eb06-3de9-4294-bb90-e9542a3add8c,2020-05-11,2021-02-15,Exp,bb498503-c111-48f7-b1e3-1836848a6773,Richard Diaz,Corp,US,New John,West Virginia,North,709328da-7283-447c-9abf-249f89bb1450,Furn,Acc,Store notice century force glass I.,3862.15,5,3.8,,PP,,
78,7d65aee5-dfce-4f8b-9cb3-48b8a67c1e34,2020-01-14,2020-03-04,Eco,e7045715-88e3-4d88-819a-e971d3c6e338,Joshua Tyler,HO,US,Watkinsborough,Massachusetts,West,15ea53e5-6ba3-47e5-b854-347860554266,Tech,Acc,Example home role.,4429.9,10,74.87,1.0,CC,,
79,e4ecc4cf-dd3c-432c-bb1e-46564345f65b,2020-11-28,2021-04-16,Std,30376bb4-2c1c-4221-af30-5285cd61e5c4,Rebecca Cabrera,Cons,US,East Lawrencehaven,Kansas,North,8cfeba3d-43c9-4c00-9000-402b7276626a,OffSup,Bkcs,History lawyer group expect change window.,4531.43,1,5.77,1.0,COD,,
80,f7858c02-4020-48ee-a8f8-34b7ecf77569,2023-10-20,2024-01-16,Std,43ef6e29-6319-4769-93ac-06cff292f5a9,Cassandra Knox,Corp,US,Lake William,Wisconsin,East,e544285e-168b-4f69-b02c-fcaf25158a26,OffSup,Acc,Provide company huge these half under see.,2281.76,6,95.86,1.0,COD,,
81,1f39ffc6-3a12-4073-8629-9cc4198cd388,2022-10-05,2023-04-03,Std,30eca35a-d537-4627-b407-8c50a91d05a1,David Young,Corp,US,Conwayborough,Missouri,East,70ee89fc-f76e-4f93-b4c2-3403e97fb126,Tech,Fstnrs,Require police machine.,1601.7,10,59.13,1.0,CC,,
